Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
,,,https://meghdadit.com/product/10656/lenovo-b5180-core-i7-8gb-1tb-2gb-laptop/,24.7 * 262 * 380 mm,INTEL i7-6500U 2.5 Ghz,AMD Radeon R5 M330,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,32 Wh,8 GB,2.32 kg,SATA,2 GB 
,,,https://meghdadit.com/product/9825/lenovo-y5070-core-i7-8gb-1tb8gb-ssd-4gb-full-hd-external-odd-drive/,22 * 263 * 386 mm,INTEL i7-4720HQ 2.6 Ghz,Nvidia Gforce GTX 960M,TFT LED-backlit LCD 1080 * 1920,8 GB SSD + 1 TB HDD,DDR3,74 Wh,8 GB,2.39 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/9836/lenovo-ideapad-100-core-i3-4gb-500gb-intel/,24.7 * 262 * 380 mm,INTEL i3-5005U 2.0 Ghz,Intel HD Graphics 5500,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,24 Wh,4 GB,2.3 kg,SATA,
,,,https://meghdadit.com/product/10652/lenovo-b5180-core-i3-4gb-500gb-1gb-laptop/,24.7 * 262 * 380 mm,INTEL i3-5005U 2.0 Ghz,AMD Radeon R5 M330,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,32 Wh,4 GB,2.32 kg,SATA,1 GB 
,,,https://meghdadit.com/product/41296/lenovo-g5045-a4-6210-4gb-500gb-2gb/,25 * 265 * 385 mm,AMD A4-6210 1.8 Ghz,AMD Radeon R5 M230,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,32 وات‌ساعت,4 GB,2.5 kg,SATA,2 GB 
,,,https://meghdadit.com/product/969/acer-aspire-e1-572g-core-i5-4gb-500gb-1gb/,381 × 254 × 33 mm,INTEL i5-4200U 1.6 Ghz,AMD Radeon HD 8670M,HD Widescreen CineCrystal LED-Backlit 768 * 1366,500 GB HDD,DDR3,,4 GB,2.4 kg,SATA,1 GB 
,,,https://meghdadit.com/product/1467/acer-aspire-e5-571g-pentium-4gb-500gb-1gb/,21 × 256 × 381 mm,INTEL Pentium-3558u 1.7 Ghz,Nvidia Gforce GT 740M,LED Backlight 768 * 1366,500 GB HDD,DDR3,,4 GB,2.5 kg,SATA,1 GB 
,,,https://meghdadit.com/product/6215/acer-aspire-e5-511g-n3530-4gb-500gb-1gb/,21 * 256 * 381 mm,INTEL Pentium-N3530 2.16 Ghz,Nvidia Gforce GT 810M,LED Backlight 768 * 1366,500 GB HDD,DDR3,2500 میلی‌آمپر-ساعت,4 GB,2.5 kg,SATA,1 GB 
,,,https://meghdadit.com/product/4352/acer-aspire-e5-573g-core-i7-8gb-1tb-4gb-full-hd/,29.2 * 256 * 382 mm,INTEL i7-5500U 2.4 Ghz,Nvidia Gforce GT 940M,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR3,2500 میلی آمپر,8 GB,2.5 kg,SATA,4 GB
,,,https://meghdadit.com/product/9491/acer-aspire-e1-572g-core-i3-4gb-500gb-1gb/,26 * 256 * 382 mm,INTEL i3-4010U 1.7 Ghz,AMD Radeon R5 M240,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,2500 mAh,4 GB,2.4 kg,SATA,1 GB 
,,,https://meghdadit.com/product/44412/acer-aspire-e5-552g-a10-8700p-8gb-1tb-2gb-laptop/,25 * 256 * 382 mm,AMD A10-8700P 1.8 Ghz,AMD Radeon R8 M365DX,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,37 Wh,8 GB,2.4 kg,SATA,2 GB 
,,,https://meghdadit.com/product/46316/acer-aspire-e5-523g-a6-9210-8gb-1tb-2gb-laptop/,30.2 * 259 * 381 mm,AMD A6-9210 2.4 Ghz,AMD Radeon R5 M430,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,2800 mAh,8 GB,2.39 kg,SATA,2 GB 
,,,https://meghdadit.com/product/43220/acer-aspire-e5-574g-core-i5-8gb-1tb-4gb-full-hd-laptop/,29.2 * 256 * 382 mm,INTEL i5-6200U 2.3 Ghz,Nvidia Gforce 940M,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR3,2520 میلی‌ آمپر‌ ساعت,8 GB,2.39 kg,SATA,4 GB
,,,https://meghdadit.com/product/42238/acer-aspire-e5-574g-core-i5-4gb-500gb-2gb-laptop/,29.2 * 256 * 382 mm,INTEL i5-6200U 2.3 Ghz,Nvidia Gforce 920M,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,2520 mAh,4 GB,2.39 kg,SATA,2 GB 
,,,https://meghdadit.com/product/937/lenovo-flex2-core-i5-6gb-1tb8gb-ssd-4gb/,22 * 265 * 382 mm,INTEL i5-4210U 1.7 Ghz,Nvidia Gforce GT 840M,IPS LCD 1080 * 1920,8 GB SSD + 1 TB HDD,DDR3,,6 GB,2.3 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/940/lenovo-flex2-core-i7-8gb-1tb-2gb-touch/,22 * 265 * 382 mm,INTEL i7-4510U 2.0 Ghz,Nvidia Gforce GT 840M,IPS LCD 1080 * 1920,1 TB HDD,DDR3,,8 GB,2.3 kg,SATA,2 GB 
,,,https://meghdadit.com/product/64305/hp-15-pavilion-15-cc090nia-core-i7-16gb-2tb-4gb-full-hd-laptop/,22.5 * 252 * 378 mm,INTEL i7-7500U 2.7 Ghz,Nvidia Gforce 940MX,TFT LED-backlit LCD 1080 * 1920,2 TB HDD,DDR4,41 Wh,16 GB,2.12 kg,SATA,4 GB
,,,https://meghdadit.com/product/63743/hp-15-bs085nia-core-i7-8gb-1tb-2gb-laptop/,23.8 × 253.8 × 380 mm,INTEL i7-7500U 2.7 Ghz,AMD Radeon 530,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,41 Wh,8 GB,2.1 kg,SATA,2 GB 
,,,https://meghdadit.com/product/65416/hp-14-bs094nia-core-i3-8gb-1tb-2gb-full-hd-laptop/,340 * 240 * 23.7 mm,INTEL i3-6006U 2.0 Ghz,AMD Radeon HD Graphics 520,LED Backlit IPS 1080 * 1920,1 TB HDD,DDR4,41 وات‌ساعت,8 GB,1.9 kg,SATA,2 GB 
,,,https://meghdadit.com/product/65420/hp-pavilion-15-cc195nia-core-i5-8gb-1tb-4gb-full-hd-laptop/,378 * 252 * 22.5 mm,INTEL i5-8250U 1.6 Ghz,Nvidia Gforce 940MX,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,8 GB,2.1 kg,SATA,4 GB
,,,https://meghdadit.com/product/65421/hp-pavilion-15-cc198nia-core-i7-16gb-1tb-4gb-full-hd-laptop/,378 * 252 * 22.5 mm,INTEL i7-8550U 1.8 Ghz,Nvidia Gforce 940MX,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,16 GB,2.1 kg,SATA,4 GB
,,,https://meghdadit.com/product/62872/hp-am198nia-core-i5-8gb-1tb-2gb-full-hd-laptop/,345.4 * 241.5 * 23.9 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon R5 M430,IPS LCD 1080 * 1920,1 TB HDD,DDR4,41 وات‌ساعت,8 GB,1.94 kg,SATA,2 GB 
,,,https://meghdadit.com/product/65424/hp-15-bw011dx-a6-9220-4gb-500gb-2gb-laptop/,23.8 * 253.8 * 380 mm,AMD A6-9220 2.5 Ghz,AMD Radeon R4 Graphics,LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,31 Wh,4 GB,2.1 kg,SATA,2 GB 
,,,https://meghdadit.com/product/50738/hp-15-ba154nr-a9-9410-4gb-1tb-512mb-laptop/,24.3 * 254.6 * 384.3 mm,AMD A9-9410 2.9 Ghz,AMD Radeon R5,HD SVA BrightView WLED-backlit 768 * 1366,1 TB HDD,DDR4,31 Wh,4 GB,2.14 kg,SATA,512 مگا 
,,,https://meghdadit.com/product/62621/hp-pavilion-13t-u100s-x360-core-i5-8gb-1tb-intel-touch-laptop/,19.8 * 222 * 326 mm,INTEL i3-7100U 2.5 Ghz,Intel HD Graphics 620,IPS LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,4 GB,1.66 kg,SATA,
,,,https://meghdadit.com/product/62726/hp-spectre-x360-13t-ac000s-core-i7-16gb-512gb-intel-full-hd-touch-laptop/,13.9* 218 * 307 mm,INTEL i7-7500U 2.7 Ghz,Intel HD Graphics 620,IPS LCD 1080 * 1920,512 GB HDD,DDR3,57.8 وات‌ساعت,16 GB,1.32 kg,SSD,
,,,https://meghdadit.com/product/62887/hp-15-bw099nia-e2-9000e-4gb-500gb-amd-laptop/,23.8 * 253.8 * 380 mm,AMD E2-9000e 1.5 Ghz,AMD Radeon R2 Graphics,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,41 Wh,4 GB,2.1 kg,SATA,
,,,https://meghdadit.com/product/62888/hp-15-bw097nia-e2-9000e-4gb-500gb-amd-laptop/,23.8 * 253.8 * 380 mm,AMD E2-9000e 1.5 Ghz,AMD Radeon R2 Graphics,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,41 Wh,4 GB,2.1 kg,SATA,
,,,https://meghdadit.com/product/65721/hp-15-ra003nia-n3060-4gb-500gb-intel-laptop/,380 * 253 * 23.8 mm,INTEL Celeron-N3060 1.6 Ghz,Intel HD Graphics 400,LED Backlit 768 * 1366,500 GB HDD,DDR3,31 وات‌ساعت,4 GB,2.1 kg,SATA,
,,,https://meghdadit.com/product/63744/hp-15-bs089nia-core-i5-4gb-500gb-2gb-laptop/,23.8 × 253.8 × 380 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon 520,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,41 Wh,4 GB,2.1 kg,SATA,2 GB 
,,,https://meghdadit.com/product/63990/hp-15-bs027ne-core-i5-8gb-1tb-4gb-full-hd-laptop/,23.8 * 254 * 380 mm,INTEL i5-7200U 2.5 Ghz,AMD Radeon 530 GDRR3,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,8 GB,2.1 kg,SATA,4 GB
,,,https://meghdadit.com/product/86782/hp-da0030ne-core-i7-8gb-1tb-2gb-laptop/,376x246x22.5 mm,INTEL i7-8550U 1.8 Ghz,Nvidia Gforce MX130,WLED Backlit 1080 * 1920,1 TB HDD,DDR4,41Wh,8 GB,2.04 kg,HDD,2 GB 
,,,https://meghdadit.com/product/64904/hp-ay071nia-core-i3-4gb-500gb-intel-laptop/,24 * 254 * 384 mm,INTEL i3-6006U 2.0 Ghz,Intel HD Graphics 520,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR4,41 Wh,4 GB,2.04 kg,SATA,
,,,https://meghdadit.com/product/63993/hp-15-bs030ne-core-i7-12gb-1tb-4gb-full-hd-laptop/,23.8 * 254 * 380 mm,INTEL i7-7500U 2.7 Ghz,AMD Radeon 530 GDRR3,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,12 GB,2.1 kg,SATA,4 GB
,,,https://meghdadit.com/product/64566/hp-15-bs184nia-core-i7-12gb-1tb-4gb-full-hd-laptop/,23.8 * 254 * 380 mm,INTEL i7-8550U 1.8 Ghz,AMD Radeon 530GDDR3,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,12 GB,2.1 kg,SATA,4 GB
,,,https://meghdadit.com/product/64944/hp-omen-17-core-i7-16gb-1tb128gb-ssd-4gb-full-hd-laptop/,29.9 * 279 * 416 mm,INTEL i7-7700HQ 2.8 Ghz,Nvidia Gforce GTX 1050 DDR5,IPS LCD 1080 * 1920,128 GB SSD + 1 TB HDD,DDR4,95.8 وات‌ساعت,16 GB,2.85 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/64106/hp-15-bs067nia-core-i3-4gb-500gb-2gb-laptop/,380 * 253 * 23.8 mm,INTEL i3-6006U 2.0 Ghz,AMD Radeon 520,LED Backlit 768 * 1366,500 GB HDD,DDR4,41 وات‌ساعت,4 GB,2.1 kg,SATA,2 GB 
,,,https://meghdadit.com/product/50935/hp-15-ay089nia-n3060-4gb-500gb-intel-laptop/,24.3 * 254 * 384 mm,INTEL Celeron-N3060 1.6 Ghz,Intel HD Graphics 400,TFT LED-backlit LCD 768 * 1366,500 GB HDD,DDR3,41 Wh,4 GB,2.04 kg,SATA,
,,,https://meghdadit.com/product/64266/hp-15-bs098nia-n3060-4gb-500gb-intel-laptop/,380 * 253 * 23.8 mm,INTEL Celeron-N3060 1.6 Ghz,Intel HD Graphics 400,LED Backlit 768 * 1366,500 GB HDD,DDR3,41 وات‌ساعت,4 GB,2.1 kg,SATA,
,,,https://meghdadit.com/product/64463/hp-15-bw096nia-a6-9220-4gb-1tb-2gb-laptop/,23.8 * 253.8 * 380 mm,AMD A6-9220 2.5 Ghz,AMD Radeon 520Graphics,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,41 Wh,4 GB,2.1 kg,SATA,2 GB 
,,,https://meghdadit.com/product/68514/hp-14-ck0024nia-core-i5-8gb-1tb-2gb-laptop/,335 * 234 * 19.9 mm,INTEL i5-8250U 1.6 Ghz,AMD Radeon 520Graphics,TFT LED-backlit IPS LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,8 GB,1.55 kg,HDD,2 GB 
,,,https://meghdadit.com/product/68515/hp-15-pavilion-cs0014nia-core-i5-8gb-1tb-4gb-laptop/,361.6 * 245.6 * 17.9 mm,INTEL i5-8250U 1.6 Ghz,Nvidia Gforce MX150,TFT LED-backlit LCD 1080 * 1920,1 TB HDD,DDR4,41 Wh,8 GB,1.93 kg,HDD,4 GB
,,,https://meghdadit.com/product/69063/hp-spectre-x360-13t-ae000-core-i5-8gb-512gb-ssd-intel-full-hd-touch-laptop/,13.6 × 218 × 306 mm,INTEL i5-8250U 1.6 Ghz,Intel UHD Graphics 620,IPS LED-backlit LCD 1080 * 1920,512 GB HDD,DDR4,60 وات‌ساعت,8 GB,1.29 کيلوگرم,SSD,
,,,https://meghdadit.com/product/69925/hp-15-cx0056wm-core-i5-8gb-1tb-4gb-full-hd-laptop/,365 * 256.5 * 25.4 mm,INTEL i5-8300H 2.3 Ghz,Nvidia Gforce GTX 1050 Ti,IPS 1080 * 1920,1 TB HDD,DDR4,52.5 Wh,8 GB,,HDD,4 GB
,,,https://meghdadit.com/product/71645/hp-zbook-17-g4-mobile-workstation-core-i7-64gb-1tb-ssd-16gb-4k-laptop/,419*279*33 mm,INTEL i7-7820HQ 2.9 Ghz,Nvidia Quadro P5000 GDDR5,IPS LED-backlit LCD 2160 * 3840,1 TB HDD,DDR4,92Wh,64 GB,3.14 kg,SSD,16 GB
,,,https://meghdadit.com/product/70962/hp-15-da0064nia-core-i3-4gb-1tb-2gb-laptop/,376 * 246 * 22.5 mm,INTEL i3-7020U 2.3 Ghz,Nvidia Gforce MX110,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,41 Wh,4 GB,2.04 kg,HDD,2 GB 
,,,https://meghdadit.com/product/73446/hp-envy-x360-15m-bq121dx-ryzen-5-2500u-8gb-1tb-amd-touch-laptop/,359 * 248 * 19.6 mm,AMD 2500U 2.0 Ghz,AMD Radeon Vega 8,IPS WLED-backlit 1080 * 1920,1 TB HDD,DDR4,,8 GB,2.15  kg,HDD,
,,,https://meghdadit.com/product/73734/hp-omen-15t-dc100-j-core-i7-16gb-1tb-with-512gb-ssd-6gb-laptop/,359*262*24 mm,INTEL i7-8750H 2.2 Ghz,Nvidia Gforce GTX 1060 GDDR5,IPS LED-backlit LCD 2160 * 3840,512 GB SSD + 1 TB HDD,DDR4,66Wh,16 GB,2.3 kg,SSDHDD,6 GB 
,,,https://meghdadit.com/product/72026/hp-omen-17-an100-a-core-i7-16gb-1tb-with-256gb-ssd-4gb-full-hd-laptop/,42.3 x 30.4 x 3.3 mm,INTEL i7-8750H 2.2 Ghz,Nvidia GeForce GTX 1050Ti GDDR5,IPS LED-backlit LCD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,82 وات‌,16 GB,3.78 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/72027/hp-omen-17-an100-f-core-i7-16gb-1tb-with-500gb-ssd-8gb-full-hd-laptop/,42.3 x 30.4 x 3.3 mm,INTEL i7-8750H 2.2 Ghz,Nvidia GeForce GTX 1070 GDDR5,IPS LED-backlit LCD 1080 * 1920,500 GB SSD + 1 TB HDD,DDR4,82 وات‌,16 GB,3.78 kg,SSDHDD,8 GB 
,,,https://meghdadit.com/product/73726/hp-omen-15t-dc100-b-core-i7-16gb-1tb-with-500gb-ssd-4gb-laptop/,359*262*24 mm,INTEL i7-8750H 2.2 Ghz,Nvidia Gforce GTX 1050ti GDDR5,IPS LED-backlit LCD 1080 * 1920,500 GB SSD + 1 TB HDD,DDR4,66Wh,16 GB,2.3 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/74026/hp-15-bw096nia-a6-9220-8gb-1tb-2gb-laptop/,23.8 * 253.8 * 380 mm,AMD A6-9220 2.5 Ghz,AMD Radeon 520Graphics,TFT LED-backlit LCD 768 * 1366,1 TB HDD,DDR4,41 Wh,8 GB,2.1 kg,HDD,2 GB 
,,,https://meghdadit.com/product/74798/hp-15-db0005ds-a9-9425-8gb-128gb-ssd-amd-touch-laptop/,376 * 246 * 22.5 mm,AMD A9-9425 3.1 Ghz,AMD Radeon R5 Graphics,LED-backlit TFT LCD 768 * 1366,128 GB HDD,DDR4,41 Wh,8 GB,1.77  kg,SSD,
,,,https://meghdadit.com/product/75130/hp-probook-650-g4-a-core-i5-8gb-250gb-ssd-intel-full-hd-laptop/,370 × 257 × 24 mm,INTEL i5-8250U 1.6 Ghz,Intel UHD Graphics 620,IPS LED-backlit LCD 1080 * 1920,250 GB HDD,DDR4,48 وات‌ساعت,8 GB,2.4 کيلوگرم,SSD,
,,,https://meghdadit.com/product/75084/hp-spectre-x360-13t-ap000-core-i7-16gb-512gb-ssd-intel-full-hd-touch-laptop/,308x217x14 mm,INTEL i7-8565U 1.8 Ghz,Intel UHD Graphics 620,IPS LED-backlit LCD 1080 * 1920,512 GB HDD,DDR4,61 وات‌ساعت,16 GB,1.3 کيلوگرم,SSD,
,,,https://meghdadit.com/product/111832/hp-pavilion-15-cs3429nia-core-i5-8gb-1tb-120gb-ssd-2gb-full-hd-laptop/,361 * 242 * 179 mm,INTEL i5 1035 G1 1.0 Ghz,Nvidia Gforce GeForce® MX130,SVA anti-glare micro-edge WLED-backlit 1080 * 1920,120 GB SSD + 1 TB HDD,DDR4,41 Wh,8 GB,1.94 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110896/hp-15-db1200ny-ryzen-7-3700u-8gb-1tb-laptop/,22.5×246×376 mm,AMD Ryzen 7 3700U 2.3 Ghz,AMD Radeon AMD RX VEGA 10,TFT 1080 * 1920,128 GB SSD + 1 TB HDD,DDR4,41 Wh,8 GB,2.04 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110756/hp-omen-17t-cb100-b-core-i7-32gb-1tb-512gb-ssd-6gb-full-hd-laptop/,404x284x29 mm,INTEL i7 10750H 2.6 Ghz,Nvidia GeForce RTX™ 2060 GDDR6,WLED Backlit 1080 * 1920,512 GB SSD + 1 TB HDD,DDR4,باتری لیتیوم-یون با ظرفیت 67Wh,32 GB,3.2 kg,SSDHDD,6 GB 
,,,https://meghdadit.com/product/68180/hp-probook-450-g5-c-core-i5-8gb-1tb250gb-ssd-2gb-laptop/,21 * 264 * 376 mm,INTEL i5-8250U 1.6 Ghz,Nvidia GeForce GTX 930MX,TFT LED-backlit LCD 1080 * 1920,250 GB SSD + 1 TB HDD,DDR4,48 Wh,8 GB,2.1 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/67883/hp-g6-250-n3350-4gb-500gb-intel-laptop/,380 * 253 * 23.8 mm,INTEL Celeron-N3350 1.1 Ghz,Intel HD Graphics 500,LED Backlit 768 * 1366,500 GB HDD,DDR3,31 وات‌ساعت,4 GB,1.86 kg,HDD,
,,,https://meghdadit.com/product/68186/hp-probook-450-g5-i-core-i7-16gb-1tb500gb-ssd-2gb-laptop/,21 * 264 * 376 mm,INTEL i7-8550U 1.8 Ghz,Nvidia GeForce GTX 930MX,TFT LED-backlit LCD 1080 * 1920,500 GB SSD + 1 TB HDD,DDR4,48 Wh,16 GB,2.1 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110935/hp-15-db0000ny-ryzen-3-8gb-1tb-120gb-ssd-2gb-laptop/,376 * 246 * 22.5 mm,AMD 2200U 2.5 Ghz,AMD Radeon (AMD Radeon™ 530 Graphics (2 GB GDDR5 dedicated,LED-backlit TFT LCD 768 * 1366,120 GB SSD + 1 TB HDD,DDR4,41 Wh,8 GB,2.04  kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110936/hp-15-db0000ny-ryzen-3-4gb-1tb-120gb-ssd-2gb-laptop/,376 * 246 * 22.5 mm,AMD 2200U 2.5 Ghz,AMD Radeon (AMD Radeon™ 530 Graphics (2 GB GDDR5 dedicated,LED-backlit TFT LCD 768 * 1366,120 GB SSD + 1 TB HDD,DDR4,41 Wh,4 GB,2.04  kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/111826/hp-dw0225nia-core-i3-8130u-8gb-1tb-120gb-ssd-2gb-hd-laptop/,199×242×358 mm,INTEL i3-8130U 2.2 Ghz,Nvidia Gforce MX130,HD (1366×768) TFT 768 * 1366,120 GB SSD + 1 TB HDD,DDR4,41 Wh,8 GB,1.74 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/109577/asus-zenbook-14-ux434flc-core-i7-16gb-laptop/,319 * 199 * 16.9 mm,,Nvidia Gforce NVIDIA® GeForce® MX250,"14.0"" (16:9) LED-backlit FHD (1920x1080) 1080 * 1920",1 TB HDD,,50 وات‌ساعت,16 GB,1.26 kg,SSD,2 GB 
,,,https://meghdadit.com/product/109583/asus-rog-strix-g531gu-core-i7-16gb-512gb-ssd-6gb-full-hd-laptop/,25 × 275 × 360 mm,INTEL i7-9750H 2.6 Ghz,Nvidia Gforce GTX 1660,IPS LED-backlit LCD 1080 * 1920,512 GB HDD,DDR4,,16 GB,2.57 kg,SSD,6 GB 
,,,https://meghdadit.com/product/109688/asus-vivobook-a412uf-core-i5-8gb-1tb-128gb-ssd-2gb-fhd-laptop/,18 * 211 * 323 mm,,Nvidia Gforce GEFORCE MX 110,TFT LED-backlit LCD 1080 * 1920,128 GB SSD + 1 TB HDD,,,8 GB,1.4 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/109701/asus-x543ub-core-i7-8gb-1tb-2gb-laptop/,27.2 × 251 × 381 mm,,Nvidia Gforce NVIDIA® GeForce® MX110,LED-backlit HD 768 * 1366,1 TB HDD,DDR4,33 Wh,8 GB,1.9 kg,HDD,2 GB 
,,,https://meghdadit.com/product/110367/asus-fx506iv-ryzen7-4800h-16gb-1tb-256gb-laptop/,359x256x22 mm,,Nvidia Gforce GeForce® RTX 2060,178°wide-view technology 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,48 وات‌ساعت,16 GB,2.3 kg,SSDHDD,6 GB 
,,,https://meghdadit.com/product/109938/asus-rog-strix-g731gu-core-i7-16gb-1tb-ssd-6gb-full-hd-laptop/,399x293x26.2 mm,INTEL i7-9750H 2.6 Ghz,Nvidia Gforce GeForce GTX™ 1660,LED-backlit FHD 1080 * 1920,1 TB HDD,DDR4,باتری لیتیوم یونی با ظرفیت 58 Wh,16 GB,2.85 kg,SSD,6 GB 
,,,https://meghdadit.com/product/109402/asus-vivobook-s15-s531fl-core-i5-12gb-1tb-256gb-ssd-2gb-full-hd-laptop/,361x2435x17.9 mm,,Nvidia Gforce MX250 GDDR5 VRAM,LED-backlit Full HD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,42 Wh,12 GB,1.8 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/109985/asus-m509dj-ryzen-5-3500u-8gb-1tb-256gb-ssd-2gb-full-hd-laptop/,360.2 * 234.9 * 22.9 mm,,Nvidia Gforce NVIDIA® GeForce® MX230 GDDR5 VRAM,LED-backlit FHD 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,32 Wh,8 GB,1.8 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110732/asus-vivobook-r521fb-core-i7-8gb-1tb-2gb-finger-print-full-hd-laptop/,360x235x22.9 mm,,Nvidia Gforce MX110,,1 TB HDD,DDR4,,8 GB,1.8 kg,HDD,2 GB 
,,,https://meghdadit.com/product/110713/asus-tuf-gaming-fx705dt-ryzen7-3750h-16gb-1tb-256gb-ssd-4gb-full-hd-laptop/,399.8 * 279.4 * 26.6 mm,,Nvidia Gforce GTX 1650,Anti-Glare IPS-level Panel with 45% NTSC 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,64 وات‌ساعت,16 GB,2.6 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/110630/asus-vivobook-r564jp-core-i7-8gb-1tb-256gb-laptop/,357x230x19.9 mm,INTEL i7 1065 G7 1.3 Ghz,Nvidia Gforce GeForce® MX330,,256 GB SSD + 1 TB HDD,DDR4,37 Wh,8 GB,1.75 kg,SSDHDD,2 GB 
,,,https://meghdadit.com/product/110195/asus-zenbook-15-ux533ftc-core-i7-10510u-16gb-1tb-ssd-4gb-full-hd-laptop/,354x220x189 mm,,Nvidia Gforce NVIDIA® GeForce® GTX 1650 with Max-Q Design,LED-backlit FHD 1080 * 1920,1 TB HDD,,71 Wh,16 GB,1.55 kg,SSD,4 GB
,,,https://meghdadit.com/product/110497/asus-strix-rog-g531gt-core-i7-24gb-1tb-512gb-ssd-4gb-laptop/,360 * 275 * 26 mm,INTEL i7-9750H 2.6 Ghz,Nvidia GeForce GTX 1650,IPS-level panel 1080 * 1920,512 GB SSD + 1 TB HDD,DDR4,,24 GB,2.4 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/110414/asus-vivobook-pro-15-n580gd-core-i7-32gb-2tb-240gb-ssd-4gb-full-hd-laptop/,381 * 256 * 20 mm,INTEL i7-8750H 2.2 Ghz,Nvidia Gforce GTX 1050 GDDR5,"15.6"" (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC 1080 * 1920",240 GB SSD + 2 TB HDD,DDR4,47 وات‌ساعت,32 GB,1.99 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/110465/asus-tuf-gaming-fx706ii-ryzen7-4800h-16gb-1tb-laptop/,39.9x26.8x2.3 سانتی‌متر,,Nvidia Gforce Geforce GTX 1650Ti GDDR6,178°wide-view technology 1080 * 1920,256 GB SSD + 1 TB HDD,DDR4,48 وات‌ساعت,16 GB,2.6 kg,SSDHDD,4 GB
,,,https://meghdadit.com/product/109215/asus-m570dd-ryzen-7-3700u-16gb-1tb-256gb-ssd-4gb-full-hd-laptop/,374.6 * 256 * 21.9 mm,AMD Ryzen 7 3700U 2.3 Ghz,Nvidia Gforce GeForce GTX 1050 GDDR5,"15.6"" (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC 1080 * 1920",256 GB SSD + 1 TB HDD,DDR4,48 Wh,16 GB,,SSDHDD,4 GB
,,,https://meghdadit.com/product/109463/asus-zenbook-14-um433da-ryzen-5-3500u-8gb-512gb-laptop/,169 * 319 * 199 mm,,AMD Radeon Radeon™ Vega 8 intergrated Graphics with R5,LED-backlit Full HD (1920 x 1080) 16:9 slim-bezel NanoEdge display 1080 * 1920,512 GB HDD,DDR4,50 Wh,8 GB,1.12 kg,SSD,
