Color,Discount Price,Original Price,URL,Dimensions,CPU,GPU_Model,Screen,Storage,Ram_Model,Battery,RAM,Weight,Storage_Model,GPU
,,,https://meghdadit.com/product/42258/asus-k555dg-a10-fx-8800p-8gb-1tb-3gb-laptop/,25.8 * 256 * 382 mm,AMD FX-8800P 2.1 Ghz,AMD Radeon R8 M350X,LED-backlit LCD 768 * 1366,1 TB HDD,DDR3,,8 GB,2.3 kg,SATA,3 GB
,,,https://meghdadit.com/product/42247/asus-n550jx-core-i7-8gb-1tb-4gb-full-hd-laptop/,28 * 255 * 380 mm,INTEL i7-4720HQ 2.6 Ghz,Nvidia Gforce GTX 950M,IPS LCD 1080 * 1920,1 TB HDD,DDR3,,8 GB,2.6 kg,SATA,4 GB
,,,https://meghdadit.com/product/44416/asus-k550jf-core-i7-8gb-1tb-2gb-laptop/,29.2 * 251 * 380 میلی متر,INTEL i7-4720HQ 2.6 Ghz,Nvidia Gforce GT 930M,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR3,,8 GB,2.45 kg,SATA,2 GB 
,,,https://meghdadit.com/product/45378/asus-zenbook-ux303ub-core-i7-8gb-1tb-2gb-laptop/,20 * 223 * 323 mm,INTEL i7-6500U 2.5 Ghz,Nvidia Gforce 940M,IPS LCD 1080 * 1920,1 TB HDD,DDR3,50 Wh,8 GB,1.5 kg,SATA,2 GB 
,,,https://meghdadit.com/product/45139/asus-v502ux-core-i5-8gb-1tb-4gb-full-hd-laptop/,22.8 * 254 * 381 mm,INTEL i5-6200U 2.3 Ghz,Nvidia Gforce GTX 950M,TFT LED-Backlit LCD 1080 * 1920,,DDR3,4800 mAh,8 GB,1.99 kg,SATA,4 GB
,,,https://meghdadit.com/product/42074/asuspro-p2530uj-core-i3-4gb-500gb-2gb-laptop/,26.3~23.3 * 256 * 380 mm,INTEL i3-6100U 2.3 Ghz,Nvidia Gforce GT 920M,TFT LED-Backlit LCD 768 * 1366,500 GB HDD,DDR4,56 Wh,4 GB,2.17 kg,SATA,2 GB 
,,,https://meghdadit.com/product/40995/asus-vivobook-flip-tp301uj-core-i7-8gb-512gb-ssd-2gb-touch/,19.9 * 227 * 322 mm,INTEL i7-6500U 2.5 Ghz,Nvidia Gforce GT 920M,IPS LCD 1080 * 1920,512 GB HDD,DDR3,55 Wh,8 GB,1.5 kg,SSD,2 GB 
,,,https://meghdadit.com/product/40872/asus-g501vw-core-i7-16gb-1tb128gb-ssd-4gb-4k/,20.6 * 255 * 383 mm,INTEL i7-6700HQ 2.6 Ghz,Nvidia Gforce GTX 960M GDDR5,IPS LCD 2160 * 3840,128 GB SSD + 1 TB HDD,DDR4,60 وات‌ساعت,16 GB,2.06 kg,SSDSATA,4 GB
,,,https://meghdadit.com/product/9870/asus-zenbook-ux305fa-core-m-5y71-8gb-128gb-ssd-intel-full-hd/,12.7 * 226 * 325 mm,INTEL 5Y71 0.8 Ghz,Intel HD Graphics 5300,IPS LCD 1080 * 1920,128 GB HDD,DDR3,44 Wh,8 GB,1.18 kg,SSD,
,,,https://meghdadit.com/product/10566/asuspro-advanced-b551lg-core-i5-6gb-1tb-1gb/,26 * 259 * 383 mm,INTEL i5-4200U 1.6 Ghz,Nvidia Gforce GT 840M,TFT LED-Backlit LCD 768 * 1366,1 TB HDD,DDR3,45 وات‌ساعت,6 GB,2.49 kg,SATA,1 GB 
