url,Title,Manufacturer,Model_Name,Screen_Size,Resolution,CPU,RAM,RAM_type,Storage,Storage_type,GPU,GPU_RAM,Size,Weight,Score,Battery_life,Price
https://www.zoomit.ir/product/lenovo-ideapad-3-celeron-n4020-uhd-600-4gb-1128gb/,لپ تاپ IdeaPad 3 لنوو - Celeron N4020 UHD 600 4GB 1128GB,,,15.6 اینچ,HD - 1366×768,اینتل Celeron N4020,4 گیگابایت,DDR4,1128 گیگابایت (1 ترابایت HDD و 128 گیگابایت SSD),هیبریدی (SSD و HDD),,,19.9 × 253.4 × 362.2 میلی‌متر,1.7 کیلوگرم,8,باتری 2 سلولی با ظرفیت 35 وات‌ساعت," 12,790,000 "
https://www.zoomit.ir/product/lenovo-loq-15irh8-core-i7-13620h-rtx-4050-32gb-1tb/,لپ تاپ LOQ 15IRH8 لنوو - Core i7-13620H RTX 4050 32GB 1TB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-13620H,32 گیگابایت,DDR5,1 ترابایت,SSD,انویدیا GeForce RTX 4050,6 گیگابایت از نوع GDDR6,25.2 × 264.8 × 359.6 میلی‌متر,2.4 کیلوگرم,7,باتری 4 سلولی با ظرفیت 60 وات‌ساعت," 58,499,000 "
https://www.zoomit.ir/product/lenovo-legion-5-pro-core-i7-12700h-rtx-3060-32gb-2tb/,لپ تاپ Legion 5 Pro لنوو - Core i7-12700H RTX 3060 32GB 2TB,,,16 اینچ,1600×2560 - WQXGA,اینتل Core i7-12700H,32 گیگابایت,DDR5,2 ترابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت از نوع GDDR6,26.6 × 264.4 × 359.9 میلی‌متر,2.49 کیلوگرم,8,باتری 4 سلولی با ظرفیت 80 وات‌ساعت," 71,499,000 "
https://www.zoomit.ir/product/lenovo-ideapad-3-core-i3-1115g4-uhd-graphics-xe-12gb-1128gb/,لپ تاپ IdeaPad 3 لنوو - Core i3-1115G4 UHD Graphics Xe 12GB 1128GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i3-1115G4,12 گیگابایت,DDR4,1128 گیگابایت (1 ترابایت HDD و 128 گیگابایت SSD),هیبریدی (SSD و HDD),,فاقد حافظه‌ی گرافیکی اختصاصی,19.9 × 253.4 × 362.2 میلی‌متر,1.7 کیلوگرم,8,باتری 2 سلولی با ظرفیت 35 وات‌ساعت," 16,400,000 "
https://www.zoomit.ir/product/asus-tuf-dash-f15-fx517zm-core-i7-12650h-rtx-3060-32gb-2tb/,لپ تاپ TUF Dash F15 FX517ZM ایسوس - Core i7-12650H RTX 3060 32GB 2TB, TUF Dash F15 FX517ZM,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-12650H,32 گیگابایت,DDR5,2 ترابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت از نوع GDDR6,20.7 × 251 × 354 میلی‌متر,2.0 کیلوگرم,6,باتری 4 سلولی با ظرفیت 76 وات‌ساعت," 69,265,000 "
https://www.zoomit.ir/product/asus-rog-zephyrus-g15-ga503-ga503qm-ryzen-9-5900hs-rtx-3060-16gb-512gb/,لپ تاپ ROG Zephyrus G15 GA503 GA503QM ایسوس - Ryzen 9 5900HS RTX 3060 16GB 512GB, ROG Zephyrus G15 GA503 GA503QM,ASUS,15.6 اینچ,QHD - 2560×1440,AMD Ryzen 9 5900H,16 گیگابایت,DDR4,512 گیگابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت,19.9 × 243 × 355 میلی‌متر,1.9 کیلوگرم,7,باتری 4 سلولی با ظرفیت 90 وات‌ساعت," 56,699,000 "
https://www.zoomit.ir/product/lenovo-legion-5i-core-i7-12700h-rtx-3060-32gb-1tb/,لپ تاپ Legion 5 لنوو - Core i7-12700H RTX 3060 32GB 1TB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-12700H,32 گیگابایت,DDR5,1 ترابایت,SSD,انویدیا GeForce RTX 3060,6 گیگابایت,19.9 × 262.3 × 358.8 میلی‌متر,2.4 کیلوگرم,7,باتری 4 سلولی با ظرفیت 80 وات‌ساعت," 69,600,000 "
https://www.zoomit.ir/product/lenovo-ideapad-3-core-i7-1255u-iris-xe-16gb-1tb/,لپ تاپ IdeaPad 3 لنوو - Core i7-1255U Iris Xe 16GB 1TB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i7-1255U,8 گیگابایت,DDR4-3200,1 ترابایت,SSD,,,19.9 × 236.5 × 359.2 میلی‌متر,1.65 کیلوگرم,7,باتری 3 سلولی با ظرفیت 45 وات‌ساعت," 27,750,000 "
https://www.zoomit.ir/product/lenovo-ideapad-3-core-i5-1155g7-mx350-16gb-1512gb/,لپ تاپ IdeaPad 3 لنوو - Core i5-1155G7 MX350 16GB 1512GB,,,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-1155G7,16 گیگابایت,DDR4-3200,1512 گیگابایت (1 ترابایت HDD و 512 گیگابایت SSD),هیبریدی (SSD و HDD),انویدیا GeForce MX350,2 گیگابایت از نوع GDDR5 و 64 بیت,19.9 × 236.5 × 359.2 میلی‌متر,1.65 کیلوگرم,7,باتری 2 سلولی با ظرفیت 38 وات‌ساعت," 25,899,000 "
https://www.zoomit.ir/product/asus-vivobook-15-r1502za-core-i3-1215u-uhd-graphics-12gb-256gb/,لپ تاپ VivoBook 15 R1502ZA ایسوس - Core i3-1215U UHD Graphics 12GB 256GB, VivoBook 15 R1502ZA,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i3-1215U,12 گیگابایت,DDR4,256 گیگابایت,SSD,,,19.9 × 232.5 × 359.7 میلی‌متر,1.7 کیلوگرم,8,باتری 3 سلولی با ظرفیت 42 وات‌ساعت," 17,500,000 "
https://www.zoomit.ir/product/asus-zenbook-flip-15-q508-ryzen-7-5700u-mx450-8gb-1tb/,لپ تاپ Zenbook Flip 15 Q508UG ایسوس - Ryzen 7 5700U MX450 8GB 1TB, Zenbook Flip 15 Q508UG,ASUS,15.6 اینچ,1080×1920 - FHD,AMD Ryzen 7 5700U,8 گیگابایت,DDR4,1 ترابایت,SSD,انویدیا GeForce MX450,2 گیگابایت,19.9 × 230 × 357.8 میلی‌متر,1.90 کیلوگرم,7,باتری 4 سلولی با ظرفیت 56 وات‌ساعت," 45,675,000 "
https://www.zoomit.ir/product/asus-vivobook-pro-k6500zh-core-i5-12500h-gtx-1650-16gb-512gb/,لپ تاپ VivoBook Pro K6500ZH ایسوس - Core i5-12500H GTX 1650 16GB 512GB, VivoBook Pro K6500ZH,ASUS,15.6 اینچ,1080×1920 - FHD,اینتل Core i5-12500H,16 گیگابایت,DDR5,512 گیگابایت,SSD,انویدیا GeForce GTX 1650,4 گیگابایت از نوع GDDR6,18.9 × 234.3 × 359.8 میلی‌متر,1.8 کیلوگرم,7,باتری 3 سلولی با ظرفیت 50 وات‌ساعت," 42,590,000 "
